,SourceFile,Directory,Date,FileName,Rings_visible,Rings_comb,Flag,comments,Molt,Score
226,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4588.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob,02/08/2021,IMG_4588.JPG,1,RYLR,0,,0,
246,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5660.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5660.JPG,1,RBBR,0,,0,
245,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5651.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5651.JPG,1,RGGL,0,,0,
247,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5665.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5665.JPG,1,RGGL,0,,0,
232,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5494.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5494.JPG,1,RBLY,1,,1,3
233,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5501.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5501.JPG,1,RWLG,0,,1,5
234,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5502.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5502.JPG,1,RWLG,0,,1,5
235,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5509.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5509.JPG,1,RWWB,0,,1,5
237,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5527.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5527.JPG,1,RLYL,1,,1,5
238,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5561.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5561.JPG,1,RWWB,0,,1,5
239,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5563.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5563.JPG,1,RWLG,0,,1,5
240,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5572.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5572.JPG,1,RBRL,0,RLRB?/RBRL?,1,4
241,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5595.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5595.JPG,1,RWWB,0,,1,5
242,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5624.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5624.JPG,1,RWBB,0,,1,6
244,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5650.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5650.JPG,1,RGGL,0,,0,
248,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5666.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5666.JPG,1,RBBR,0,,1,7
251,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5741.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5741.JPG,1,RRLR,1,,1,6
252,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5747.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5747.JPG,1,RWWB,0,,1,5
253,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5752.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5752.JPG,1,RLYL,1,,1,5
254,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5757.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5757.JPG,1,RRLR,1,,1,6
255,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5766.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5766.JPG,1,RRLR,1,,1,6
256,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5767.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5767.JPG,1,RRLR,1,,1,6
243,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5633.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5633.JPG,1,RWLG,0,,0,
236,"E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls/IMG_5511.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_06 RBBR mates, ob and gulls",06/08/2021,IMG_5511.JPG,1,RWWB,0,,0,
257,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas/IMG_6174.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas,08/08/2021,IMG_6174.JPG,1,RBBR,0,,1,7
258,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas/IMG_6184.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas,08/08/2021,IMG_6184.JPG,1,RGGL,0,,1,5
259,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas/IMG_6217.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_08 RBBR and Ms Xmas,08/08/2021,IMG_6217.JPG,1,RGGL,0,,0,
260,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6360.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6360.JPG,1,RGGL,0,,1,6
261,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6363.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6363.JPG,1,RGGL,0,,1,6
262,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6366.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6366.JPG,1,RBBR,0,,1,7
263,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6433.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6433.JPG,1,RLBY,1,,1,5
264,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6559.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6559.JPG,1,RLBY,1,,1,5
265,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6661.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6661.JPG,1,RBBR,0,,1,7
266,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6755.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6755.JPG,1,RLBY,1,,1,5
267,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6760.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6760.JPG,1,RLBY,1,,1,5
268,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6797.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6797.JPG,1,RBLY,1,,1,4
270,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6839.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6839.JPG,1,RWWB,0,,1,5
271,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6847.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6847.JPG,1,RWWB,0,,1,5
272,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6943.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6943.JPG,1,RWWB,0,,1,5
273,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6960.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6960.JPG,1,RWWB,0,,1,5
274,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6994.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6994.JPG,1,RYLR,0,,1,4
275,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7001.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_7001.JPG,1,RYLR,0,,1,4
276,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7015.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_7015.JPG,1,RBBL,0,,1,3
277,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7018.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_7018.JPG,1,RBBL,0,,1,3
278,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7105.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_7105.JPG,1,RLBY,1,,1,5
279,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_7108.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_7108.JPG,1,RGGL,0,,0,
269,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob/IMG_6835.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_10 Dot ob,10/08/2021,IMG_6835.JPG,1,RWWB,0,,0,
280,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_11 dot check with Carol/IMG_7165.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_11 dot check with Carol,11/08/2021,IMG_7165.JPG,1,RBLY,1,,1,4
281,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7271.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,13/08/2021,IMG_7271.JPG,1,RWLG,0,,1,5
282,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7284.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,13/08/2021,IMG_7284.JPG,1,RWLG,0,,1,5
283,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7303.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,13/08/2021,IMG_7303.JPG,1,RWLG,0,,1,5
284,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob/IMG_7371.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_13 Pm dot ob,13/08/2021,IMG_7371.JPG,1,RBBR,0,,1,7
285,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7459.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7459.JPG,1,RWWB,0,,1,5
286,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7479.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7479.JPG,1,RWWB,0,,1,5
287,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7494.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7494.JPG,1,RYLR,0,,1,4
288,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7514.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7514.JPG,1,RWBL,0,,1,5
289,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7523.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7523.JPG,1,RWBL,0,,1,5
290,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7534.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7534.JPG,1,RRBB,0,,1,4
291,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob/IMG_7541.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_16 Dot ob,16/08/2021,IMG_7541.JPG,1,RWBL,0,,1,5
292,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0782.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0782.JPG,1,RLYL,1,"METAL ON LEFT TARSUS, FLAG ON RIGHT TIBIA",1,5
294,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0789.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0789.JPG,1,RBBR,0,,1,6
296,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0799.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0799.JPG,1,RBLY,1,,1,4
297,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0806.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0806.JPG,1,RWWB,0,,1,5
298,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0814.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0814.JPG,1,RLYL,1,"METAL ON LEFT TARSUS, FLAG ON RIGHT TIBIA",1,5
299,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0823.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0823.JPG,1,RLYL,1,"METAL ON LEFT TARSUS, FLAG ON RIGHT TIBIA",1,5
300,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0827.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0827.JPG,1,RWLG,0,,1,5
301,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0837.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0837.JPG,1,RBBL,0,,1,3
302,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0849.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0849.JPG,1,RYLR,0,,1,4
303,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0855.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0855.JPG,1,RBBL,0,,1,3
304,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0880.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0880.JPG,1,RBBL,0,,1,3
305,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0896_1.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0896_1.JPG,1,RWBY,0,,1,5
306,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0901_1.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0901_1.JPG,1,RWBY,0,,1,5
307,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0906.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0906.JPG,1,RBBL,0,,1,3
308,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0919_1.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0919_1.JPG,1,RWBL,0,,0,
309,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0927.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0927.JPG,1,RBBY,0,,1,4
293,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0786.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0786.JPG,1,RLBY,1,,0,
295,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping/IMG_0794.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_01 Dot ob with much scraping,01/10/2021,IMG_0794.JPG,1,RLBY,1,,0,
310,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR/IMG_1425.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR,04/10/2021,IMG_1425.JPG,1,RRRR,0,,1,5
311,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR/IMG_1733.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR,04/10/2021,IMG_1733.JPG,1,RBRY,0,,1,5
312,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR/IMG_1756.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_04 Hatch RRRR,04/10/2021,IMG_1756.JPG,1,RBRY,0,,1,5
327,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2166.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_2166.JPG,1,RBBY,0,,0,
313,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_1989.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_1989.JPG,1,RRYY,1,,1,5
314,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2016.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_2016.JPG,1,RRYY,1,,1,5
315,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2031.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_2031.JPG,1,RROO,0,,1,5
316,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2033.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_2033.JPG,1,RRRB,0,,1,5
317,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2048.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_2048.JPG,1,RRLR,1,,1,6
318,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14/IMG_2062.JPG,E:/Kaikoura_photos/Ailsa/2021to2022/October_2021/2021_10_05 Hatch Nest 14,05/10/2021,IMG_2062.JPG,1,RRLR,1,,1,6
